Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
RODE MagClip GO,24,131,155,1884,3,152,88,36.46,0.41,890.24
BW Broadcast FAN-80X25-SU-ME80252V1,0,2,2,35.96,2,0,0,35.96,inf,0
Andrew L5SGRIP,7,-4,3,90.37,1,2,4.5,30.12,6.69,54.56
SSAV Polishing Cloth,0,502,502,440,34,468,234,29.8,0.13,2807.69
Audio-Technica AT8314-3,19,36,55,794.56,2,53,36,28.89,0.8,456.25
Atlas Sound DS7E,63,31,94,2680.19,1,93,78,28.51,0.37,986.49
RFS WPFG-1,21,-1,20,259.25,2,18,19.5,25.92,1.33,274.44
Audio-Technica 927701660,0,1,1,25,1,0,0,25,inf,0
Mogan CABLE-BG-1EV,0,2,2,40,1,1,0.5,20,40,9.12
SanDisk 32GB Regular SD Card,0,2,2,19.2,2,0,0,19.2,inf,0
Audio-Technica AT8314-15,7,6,13,247.56,1,12,9.5,19.04,2,182.5
Yellowtec YT9600,0,6,6,18.48,6,0,0,18.48,inf,0
BW Broadcast FAN-40X20-SU-MB40201V2,1,5,6,107.85,1,5,3,17.98,5.99,60.93
PCM Cable PCM-KW-14,356,8,364,791.2,8,356,356,17.39,0.05,7300
Hosa Technology CSS-110,10,-4,6,24.2,4,2,6,16.13,2.69,135.69
Siemon SA1-100,0,18,18,143.1,2,16,8,15.9,1.99,183.42
CTP Systems DBBOX2 PSU,34,-2,32,461.24,1,31,32.5,14.41,0.44,829.55
Middle Atlantic MA-23-19-2,0,1,1,13.08,1,0,0,13.08,inf,0
Hosa Technology GXP-143,0,12,12,52.2,3,9,4.5,13.05,2.9,125.86
RFS 716F-LCF12-D01,10,1,11,141.13,1,10,10,12.83,1.28,285.16
SSAV Cable Tie,0,2000,2000,540,45,1955,977.5,12.15,0.01,36500
StudioHub ADAPT-LINK-XLRF,0,1,1,11.2,1,0,0,11.2,inf,0
Whirlwind STM03,2,10,12,134.2,1,11,6.5,11.18,1.72,212.21
Hosa Technology CRA-204,9,-7,2,8.8,2,0,4.5,8.8,1.96,186.22
Siemon S89D-SIE,0,28,28,53.2,3,25,12.5,5.7,0.46,793.48
BW Broadcast IC-CA3240EZ-DIP8-GEN,0,1,1,5,1,0,0,5,inf,0
Hosa Technology STP-201,0,1,1,3.9,1,0,0,3.9,inf,0
Hosa Technology GPM-103,4,3,7,8.7,3,4,4,3.73,0.93,392.47
K&M Stands 21700.000.29,0,2,2,3.72,2,0,0,3.72,inf,0
Monoprice 6476,0,150,150,210,1,149,74.5,1.4,0.02,18250
