Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
Zoom MS-50G,5,8,13,1142.26,0,13,9,0,0,NoTurnover
Zoom MS-60B,4,0,4,326.36,0,4,4,0,0,NoTurnover
Zoom MS-70CDR,8,36,44,6932.8,0,44,26,0,0,NoTurnover
Zoom MSH-6,6,0,6,287.94,0,6,6,0,0,NoTurnover
Zoom P4 & x2 ZDM-1-PMP,11,-7,4,1226.28,0,4,7.5,0,0,NoTurnover
Zoom PodTrak P4 (B-Stock),1,0,1,140.99,0,1,1,0,0,NoTurnover
Zoom IQ7 (FBA),25,2,27,-69.99,0,27,26,0,0,NoTurnover
Zoom Q2N-4K,24,1,25,8790.66,0,25,24.5,0,0,NoTurnover
Zoom Q8,15,-11,4,2627.91,0,4,9.5,0,0,NoTurnover
Zoom R16,8,0,8,2239.92,0,8,8,0,0,NoTurnover
Zoom R24,8,0,8,2799.92,0,8,8,0,0,NoTurnover
Zoom R24 (FBA),4,0,4,0,0,4,4,0,0,NoTurnover
Zoom R8,22,0,22,5669.73,0,22,22,0,0,NoTurnover
Zoom R8 (FBA),12,0,12,0,0,12,12,0,0,NoTurnover
Zoom SSH-6,18,18,36,4139.54,0,36,27,0,0,NoTurnover
Zoom U-22,74,-48,26,5356.48,0,26,50,0,0,NoTurnover
Zoom U-22 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Zoom U-22 (FBA),8,48,56,3383.04,0,56,32,0,0,NoTurnover
Zoom U-24,1,6,7,740.18,0,7,4,0,0,NoTurnover
Zoom L12,8,0,8,3383.92,0,8,8,0,0,NoTurnover
Zoom IQ6,2,0,2,139.98,0,2,2,0,0,NoTurnover
Zoom U-44,9,0,9,1139.85,0,9,9,0,0,NoTurnover
Zoom FRC-8,1,0,1,237.99,0,1,1,0,0,NoTurnover
Zoom CBL-20,3,7,10,1385.78,0,10,6.5,0,0,NoTurnover
Zoom CBL-8,12,14,26,1939.96,0,26,19,0,0,NoTurnover
Zoom CBR-16,3,0,3,155.97,0,3,3,0,0,NoTurnover
Zoom ECM-3,2,0,2,116.98,0,2,2,0,0,NoTurnover
Zoom ECM-6,2,5,7,545.93,0,7,4.5,0,0,NoTurnover
Zoom ECM-6 (FBA),6,15,21,1169.85,0,21,13.5,0,0,NoTurnover
Zoom EXH-6,2,0,2,95.18,0,2,2,0,0,NoTurnover
Zoom F1-SP,8,0,8,1287.92,0,8,8,0,0,NoTurnover
Zoom F2,20,150,170,17848.3,0,170,95,0,0,NoTurnover
Zoom F2-BT,30,50,80,11199.2,0,80,55,0,0,NoTurnover
Zoom F6,13,0,13,6252.87,0,13,13,0,0,NoTurnover
Zoom FP02M,2,0,2,83.98,0,2,2,0,0,NoTurnover
Zoom G1 FOUR,2,0,2,133.56,0,2,2,0,0,NoTurnover
Zoom HS-1,6,0,6,83.93,0,6,6,0,0,NoTurnover
Zoom G11,1,0,1,575.99,0,1,1,0,0,NoTurnover
Zoom G1X FOUR,24,-6,18,2775.08,0,18,21,0,0,NoTurnover
Zoom G3N,3,0,3,359.52,0,3,3,0,0,NoTurnover
Zoom G3XN,3,0,3,897.54,0,3,3,0,0,NoTurnover
Zoom G5N,2,0,2,475.18,0,2,2,0,0,NoTurnover
Zoom GCE-3,1,6,7,425.94,0,7,4,0,0,NoTurnover
Zoom H1n,1,19,20,1527.41,0,20,10.5,0,0,NoTurnover
Zoom H3-VR,6,0,6,1480.44,0,6,6,0,0,NoTurnover
Zoom H4NPro ALL BLACK (FBA),16,29,45,5033.04,0,45,30.5,0,0,NoTurnover
Zoom H5,16,5,21,6663.66,0,21,18.5,0,0,NoTurnover
Zoom H8,52,-22,30,23489.19,0,30,41,0,0,NoTurnover
Zoom H8 (B-Stock),1,3,4,1043.96,0,4,2.5,0,0,NoTurnover
Zoom U-24 (FBA),20,8,28,634.44,0,28,24,0,0,NoTurnover
Zoom U-44 (FBA),19,-4,15,-633.25,0,15,17,0,0,NoTurnover
StreamLine SLPK10-SIT-FM,1,0,1,1695,0,1,1,0,0,NoTurnover
Adam Audio T7V,0,8,8,1329.6,0,8,4,0,0,NoTurnover
ATX Networks XDS Pro4S,0,2,2,5200,0,2,1,0,0,NoTurnover
AVIOM A320,0,4,4,1120,0,4,2,0,0,NoTurnover
AVIOM A360,0,4,4,1916,0,4,2,0,0,NoTurnover
AVIOM AVIOM16/o-Y1,0,1,1,629,0,1,0.5,0,0,NoTurnover
AVIOM D400,0,3,3,1257,0,3,1.5,0,0,NoTurnover
AVIOM D400-Dante,0,2,2,1398,0,2,1,0,0,NoTurnover
AVIOM D800-Dante,0,1,1,2100,0,1,0.5,0,0,NoTurnover
AVMatrix Mini SC1221,0,12,12,480,0,12,6,0,0,NoTurnover
AVMatrix PVS0613U,0,3,3,2400,0,3,1.5,0,0,NoTurnover
AVMatrix UC1118,0,3,3,330,0,3,1.5,0,0,NoTurnover
AVMatrix UC1218,0,3,3,285,0,3,1.5,0,0,NoTurnover
Adam Audio A5X,0,4,4,1431.56,0,4,2,0,0,NoTurnover
Adaptive Technologies MM-3RDX-18,0,1,1,0,0,1,0.5,0,0,NoTurnover
ART PROVLAII,0,2,2,989.96,0,2,1,0,0,NoTurnover
Akai Pro MPC Live II (B-Stock),0,1,1,840,0,1,0.5,0,0,NoTurnover
Akai Pro MPC X,0,3,3,4950,0,3,1.5,0,0,NoTurnover
Alesis Elevate 5 MKII (pair) (FBA),0,2,2,180,0,2,1,0,0,NoTurnover
Alesis SR-16 (B-Stock),0,1,1,93.5,0,1,0.5,0,0,NoTurnover
Alesis SamplePad 4 (b-stock),0,1,1,120,0,1,0.5,0,0,NoTurnover
Alesis Strike Multi Pad (b-stock),0,1,1,500,0,1,0.5,0,0,NoTurnover
Alga Microwave 210031803K,0,70,70,19040,0,70,35,0,0,NoTurnover
Allen & Heath AH-AA8705,0,4,4,51.96,0,4,2,0,0,NoTurnover
Allen & Heath AH-AB-168 (b-stock),0,1,1,757.74,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-AHM-64,0,4,4,8224.08,0,4,2,0,0,NoTurnover
Allen & Heath AH-AP11333,0,1,1,49.99,0,1,0.5,0,0,NoTurnover
Allen & Heath AH-AP11334,0,2,2,239.96,0,2,1,0,0,NoTurnover
"AT2020, 20ft XLR, Pop Filter",0,2,2,0,1,1,0.5,0,0,NoTurnover
ART PROMPAII,0,4,4,989.96,0,4,2,0,0,NoTurnover
Zoom V3,6,15,21,2983.05,0,21,13.5,0,0,NoTurnover
AKG C214 (B-Stock),0,1,1,261.63,0,1,0.5,0,0,NoTurnover
Zoom V6,3,21,24,9622.86,0,24,13.5,0,0,NoTurnover
Zoom ZDM-1,200,0,200,10398,0,200,200,0,0,NoTurnover
dbx 166xs - USED,1,0,1,77,0,1,1,0,0,NoTurnover
dbx 286s (safety stock),17,0,17,-2807.25,0,17,17,0,0,NoTurnover
iHeart Remote Kit,1,0,1,0,0,1,1,0,0,NoTurnover
multiCAM Systems mCAM Fix,1,0,1,360,0,1,1,0,0,NoTurnover
multiCAM Systems mCAM II PTZ,2,0,2,3520,0,2,2,0,0,NoTurnover
used /closeout Sage ENDEC-3644,2,0,2,0,0,2,2,0,0,NoTurnover
"286s, (2) 25' XLR",0,1,1,0,0,1,0.5,0,0,NoTurnover
"306PMKII, 25' XLR",0,1,1,0,0,1,0.5,0,0,NoTurnover
6025 Modification as per Quote 67849,0,1,1,1737,0,1,0.5,0,0,NoTurnover
AC Works S515520-012,0,150,150,2356.8,0,150,75,0,0,NoTurnover
AKG C214 MATCHED PAIR,0,2,2,1211.76,0,2,1,0,0,NoTurnover
ART D7,0,6,6,600,0,6,3,0,0,NoTurnover
AKG C3000,0,2,2,351.54,0,2,1,0,0,NoTurnover
AKG C314,0,1,1,449.82,0,1,0.5,0,0,NoTurnover
AKG C414 XLS,0,1,1,715.5,0,1,0.5,0,0,NoTurnover
AKG C5,0,3,3,327.73,0,3,1.5,0,0,NoTurnover
AKG D5,0,9,9,561.33,0,9,4.5,0,0,NoTurnover
AKG P170,0,6,6,385.56,0,6,3,0,0,NoTurnover
AKG P2,0,3,3,187.11,0,3,1.5,0,0,NoTurnover
AKG P4,0,3,3,134.95,0,3,1.5,0,0,NoTurnover
ALTO Pro TS318SUB Cover,0,2,2,60,0,2,1,0,0,NoTurnover
ART ART C2,0,3,3,390,0,3,1.5,0,0,NoTurnover
ART C1,0,3,3,300,0,3,1.5,0,0,NoTurnover
ART C1USB,0,3,3,345,0,3,1.5,0,0,NoTurnover
Zoom CBA-96,3,0,3,272.97,0,3,3,0,0,NoTurnover
Zoom BTA-1,3,0,3,59.97,0,3,3,0,0,NoTurnover
Zoom B3n,3,0,3,448.77,0,3,3,0,0,NoTurnover
Telos  TEL-200120201USED,1,0,1,80,0,1,1,0,0,NoTurnover
Tascam MODEL 12,3,0,3,1107,0,3,3,0,0,NoTurnover
Tascam MODEL 12 (FBA),2,0,2,738,0,2,2,0,0,NoTurnover
Tascam MODEL 16,1,0,1,1026,0,1,1,0,0,NoTurnover
Tascam MODEL 16 (B-Stock),1,0,1,513,0,1,1,0,0,NoTurnover
Tascam SD-20M (FBA),4,0,4,0,0,4,4,0,0,NoTurnover
Tascam SERIES 102i,3,0,3,754.8,0,3,3,0,0,NoTurnover
Tascam SERIES 208i,2,0,2,629,0,2,2,0,0,NoTurnover
Tascam SERIES 8p Dyna,1,1,2,765,0,2,1.5,0,0,NoTurnover
Tascam SS-R250N,1,4,5,2847.5,0,5,3,0,0,NoTurnover
Tascam US-2x2TP-CU,4,0,4,858.5,0,4,4,0,0,NoTurnover
Tascam US-2x2TP-CU B-stock,2,0,2,0,0,2,2,0,0,NoTurnover
Tascam US-4x4,2,0,2,306,0,2,2,0,0,NoTurnover
"Telos 2001-00287 HX1 w/ Analog In, AES Out",2,0,2,0,0,2,2,0,0,NoTurnover
Tascam DR-701D,2,0,2,651.46,0,2,2,0,0,NoTurnover
Telos 9391,1,0,1,0,0,1,1,0,0,NoTurnover
Tieline TLF5300 rental,1,0,1,0,0,1,1,0,0,NoTurnover
Tieline Technology Merlin,1,2,3,12308,0,3,2,0,0,NoTurnover
Transtector SP50-240SP,17,1,18,5498.4,0,18,17.5,0,0,NoTurnover
USED ELECTRO-IMPULSE DACT5-KFM,1,0,1,0,0,1,1,0,0,NoTurnover
USED RCA MI-560820,1,0,1,0,0,1,1,0,0,NoTurnover
Ui-24R Digital Mixer US (FBA),2,0,2,0,0,2,2,0,0,NoTurnover
Ultimate Support JS-MMS1,1,0,1,0,0,1,1,0,0,NoTurnover
Used - Potomac QA-100,1,0,1,0,0,1,1,0,0,NoTurnover
Used /Closeouts OMNIMOUNT 75WB,1,0,1,0,0,1,1,0,0,NoTurnover
Used /Closeouts SHURE A15RS,1,0,1,0,0,1,1,0,0,NoTurnover
Viking 8CNSL-Q,12,0,12,0,0,12,12,0,0,NoTurnover
Tascam DR-70D,3,0,3,586.32,0,3,3,0,0,NoTurnover
Tascam DR-60DMKII,2,4,6,781.74,0,6,4,0,0,NoTurnover
Zoom B1X FOUR,6,0,6,489.72,0,6,6,0,0,NoTurnover
Tascam 202MKVII (FBA),20,4,24,7320,0,24,22,0,0,NoTurnover
StreamLine SLPK7-SIT-FM,1,0,1,0,0,1,1,0,0,NoTurnover
SuperMicro X10SAE,1,0,1,215,0,1,1,0,0,NoTurnover
Symetrix Air Tools USS50-416,8,0,8,2000,0,8,8,0,0,NoTurnover
TC Electronic CLARITY M V2  B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
TC Electronic DITTO JAM X2 LOOPER,3,0,3,359.97,0,3,3,0,0,NoTurnover
TC Electronic NOVA SYSTEM US,5,0,5,1224.95,0,5,5,0,0,NoTurnover
TC Electronic QUINTESSENCE HARMONY,5,0,5,449.95,0,5,5,0,0,NoTurnover
Tannoy CMS803DCBM (Pair),1,0,1,0,0,1,1,0,0,NoTurnover
Tannoy CVS 801,2,0,2,189.26,0,2,2,0,0,NoTurnover
Tannoy LIVEMINI,3,0,3,637.01,0,3,3,0,0,NoTurnover
Tannoy TM1,10,0,10,700,0,10,10,0,0,NoTurnover
Tascam 202MKVII,8,1,9,3583.35,0,9,8.5,0,0,NoTurnover
Tascam BD-MP1,6,0,6,1500,0,6,6,0,0,NoTurnover
Tascam DR-40X (FBA),4,0,4,0,0,4,4,0,0,NoTurnover
Tascam CD-A580,2,4,6,2086,0,6,4,0,0,NoTurnover
Tascam CD-A580 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Tascam DP-006,4,1,5,487.35,0,5,4.5,0,0,NoTurnover
Tascam DP-008EX,34,0,34,11273.46,0,34,34,0,0,NoTurnover
Tascam DR-05X,10,2,12,912.96,0,12,11,0,0,NoTurnover
Tascam DR-05X (FBA),23,10,33,1191.33,0,33,28,0,0,NoTurnover
Tascam DR-07X,2,0,2,190.4,0,2,2,0,0,NoTurnover
Tascam DR-07X (FBA),8,-1,7,-95.2,0,7,7.5,0,0,NoTurnover
Tascam DR-100MKIII,1,10,11,2430,0,11,6,0,0,NoTurnover
Tascam DR-10SG,2,1,3,1131.75,0,3,2.5,0,0,NoTurnover
Tascam DR-10X,28,0,28,2128.56,0,28,28,0,0,NoTurnover
Tascam DR-40X,2,0,2,259.96,0,2,2,0,0,NoTurnover
Warm Audio BUS-COMP,1,0,1,500,0,1,1,0,0,NoTurnover
Warm Audio EQP-WA,1,0,1,499,0,1,1,0,0,NoTurnover
Warm Audio TB12-500,1,0,1,399,0,1,1,0,0,NoTurnover
Zoom AD-14,5,0,5,95.94,0,5,5,0,0,NoTurnover
Yellowtec YT3230  DEMO,2,0,2,0,0,2,2,0,0,NoTurnover
Yellowtec YT3249,20,0,20,3123.75,0,20,20,0,0,NoTurnover
Yellowtec YT3276,1,0,1,150,0,1,1,0,0,NoTurnover
Yellowtec YT3613,0,5,5,570.75,0,5,2.5,0,0,NoTurnover
Yellowtec YT5250,1,0,1,632.25,0,1,1,0,0,NoTurnover
Yellowtec YT9700,2,0,2,252,0,2,2,0,0,NoTurnover
YoloLiv YoloBox,0,1,1,888,0,1,0.5,0,0,NoTurnover
Zoom A1 FOUR,3,0,3,289.38,0,3,3,0,0,NoTurnover
Zoom A1X FOUR,5,0,5,556.5,0,5,5,0,0,NoTurnover
Zoom A1X FOUR (FBA),10,0,10,0,0,10,10,0,0,NoTurnover
Zoom AC-2,6,0,6,827.94,0,6,6,0,0,NoTurnover
Zoom AC-3,4,0,4,827.96,0,4,4,0,0,NoTurnover
Zoom AD-16,3,0,3,47.97,0,3,3,0,0,NoTurnover
Warm Audio TB12-B,9,0,9,3915,0,9,9,0,0,NoTurnover
Zoom AD-17,3,0,3,47.97,0,3,3,0,0,NoTurnover
Zoom AD-19D,3,0,3,62.97,0,3,3,0,0,NoTurnover
Zoom AIH-1,3,0,3,58.47,0,3,3,0,0,NoTurnover
Zoom APF-1,3,0,3,97.47,0,3,3,0,0,NoTurnover
Zoom APH-1N,13,0,13,344.77,0,13,13,0,0,NoTurnover
Zoom APH-2n,7,2,9,215.91,0,9,8,0,0,NoTurnover
Zoom APH-4nPro,6,0,6,153.54,0,6,6,0,0,NoTurnover
Zoom APH-5,6,0,6,359.88,0,6,6,0,0,NoTurnover
Zoom APH-6,6,0,6,215.94,0,6,6,0,0,NoTurnover
Zoom AR-48,3,0,3,1490.94,0,3,3,0,0,NoTurnover
Zoom Am7,100,-48,52,5879.16,0,52,76,0,0,NoTurnover
Zoom B1 FOUR,6,0,6,400.68,0,6,6,0,0,NoTurnover
Yellowtec YT3222,16,0,16,156,0,16,16,0,0,NoTurnover
Yellowtec YT3210 DEMO,2,-1,1,-40.5,0,1,1.5,0,0,NoTurnover
Yellowtec YT3206 (B-Stock),1,0,1,312,0,1,1,0,0,NoTurnover
Yamaha MG06X,1,0,1,87.85,0,1,1,0,0,NoTurnover
Warm Audio WA-14 (FBA),3,0,3,0,0,3,3,0,0,NoTurnover
Warm Audio WA-251,1,0,1,585,0,1,1,0,0,NoTurnover
Warm Audio WA-412,1,0,1,899,0,1,1,0,0,NoTurnover
Warm Audio WA-47jr,17,-8,9,8541,0,9,13,0,0,NoTurnover
Warm Audio WA-84-C-B,1,0,1,285,0,1,1,0,0,NoTurnover
Warm Audio WA-84-C-B-S,1,0,1,540,0,1,1,0,0,NoTurnover
Warm Audio WA-87 (FBA),4,4,8,1827,0,8,6,0,0,NoTurnover
Warm Audio WA-DI-A,3,0,3,390,0,3,3,0,0,NoTurnover
Warm Audio WA-DI-P,7,0,7,679,0,7,7,0,0,NoTurnover
Warm Audio WA12 MKII,2,0,2,660,0,2,2,0,0,NoTurnover
Warm Audio WA73,1,0,1,435,0,1,1,0,0,NoTurnover
Warm Audio WA76 (FBA),3,0,3,0,0,3,3,0,0,NoTurnover
Warm Audio WA76 B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Wheatstone  (2) M1 + (2) Heil PR40,1,0,1,0,0,1,1,0,0,NoTurnover
Wheatstone 071744,1,0,1,1200,0,1,1,0,0,NoTurnover
Wheatstone AirAura X3 DEMO,1,0,1,0,0,1,1,0,0,NoTurnover
Wheatstone IP-88A Demo,1,0,1,0,0,1,1,0,0,NoTurnover
Wheatstone M-2 (B-Stock),1,0,1,-1458.75,0,1,1,0,0,NoTurnover
Wheatstone M4IP-USB DEMO,1,0,1,0,0,1,1,0,0,NoTurnover
Whirlwind IMPAD30,5,0,5,65.55,0,5,5,0,0,NoTurnover
Whirlwind MK410,6,0,6,106.44,0,6,6,0,0,NoTurnover
WindTech 612P,1,0,1,0,0,1,1,0,0,NoTurnover
XONE XONE:23,4,0,4,910.92,0,4,4,0,0,NoTurnover
XONE XONE:43,2,0,2,1042.7,0,2,2,0,0,NoTurnover
XONE XONE:K2,6,0,6,1400.54,0,6,6,0,0,NoTurnover
Audio-Technica AT8449A,35,0,35,1933.75,0,35,35,0,0,NoTurnover
25-7 Systems PDM-A Used - Good,1,0,1,1540,0,1,1,0,0,NoTurnover
Audio-Technica AT8314-100,2,0,2,61.2,0,2,2,0,0,NoTurnover
Gepco 6600-0.41,5000,0,5000,550,0,5000,5000,0,0,NoTurnover
Gepco D61801EZGFG.30,11000,0,11000,3960,0,11000,11000,0,0,NoTurnover
Gepco D72401EZ.41,1000,0,1000,620,0,1000,1000,0,0,NoTurnover
HH Industries HH172,175,0,175,5590.16,0,175,175,0,0,NoTurnover
HH Industries HH512,190,0,190,1416.51,0,190,190,0,0,NoTurnover
Harris FM-10H Used - Good,1,0,1,3000,0,1,1,0,0,NoTurnover
Harris ZX3500FLX (USED),2,0,2,0,0,2,2,0,0,NoTurnover
Heil Sound FL-2,13,0,13,260,0,13,13,0,0,NoTurnover
Heil Sound HB-1,63,-30,33,6000,0,33,48,0,0,NoTurnover
Heil Sound PR20,15,0,15,1560,0,15,15,0,0,NoTurnover
Heil Sound PR22,4,0,4,500,0,4,4,0,0,NoTurnover
Heil Sound PR30B,10,4,14,2707,0,14,12,0,0,NoTurnover
Heil Sound PR35,6,6,12,4512,0,12,9,0,0,NoTurnover
Heil Sound PR35 Gold,17,0,17,4148,0,17,17,0,0,NoTurnover
Heil Sound PR40,41,-20,21,5280,0,21,31,0,0,NoTurnover
Heil Sound SB2,6,12,18,738,0,18,12,0,0,NoTurnover
Heil Sound SM1,8,0,8,440,0,8,8,0,0,NoTurnover
Heil Sound WM1,8,0,8,136,0,8,8,0,0,NoTurnover
Heil Sound WSM,8,0,8,32,0,8,8,0,0,NoTurnover
Henry Engineering AES DIGITAL DA 2X4,9,0,9,1858.5,0,9,9,0,0,NoTurnover
Henry Engineering AUTOSWITCH,4,0,4,910,0,4,4,0,0,NoTurnover
Henry Engineering DM,10,0,10,2360,0,10,10,0,0,NoTurnover
Henry Engineering GUEST POD II,2,0,2,322,0,2,2,0,0,NoTurnover
Henry Engineering LOGICONVERTER,5,0,5,875,0,5,5,0,0,NoTurnover
Henry Engineering MICROMIXER,7,0,7,1417.5,0,7,7,0,0,NoTurnover
Henry Engineering MPT12,8,0,8,96,0,8,8,0,0,NoTurnover
Henry Engineering MULTIPORT,10,0,10,6842.5,0,10,10,0,0,NoTurnover
Henry Engineering Monoswitch Used - Good,2,0,2,154.6,0,2,2,0,0,NoTurnover
Gepco D61801EZGF.41,6000,0,6000,2160,0,6000,6000,0,0,NoTurnover
Gepco 61801EZ.0-G.30,500,0,500,65,0,500,500,0,0,NoTurnover
GEORGIA COPPER #10 BARE COPPER,2600,0,2600,494,0,2600,2600,0,0,NoTurnover
Gepco 61801EZ-8.41,1000,0,1000,130,0,1000,1000,0,0,NoTurnover
GatesAir HARFAX10kFAX50,1,0,1,52150,0,1,1,0,0,NoTurnover
GatesAir HARFAX150,1,4,5,10090,0,5,3,0,0,NoTurnover
GatesAir HARFAX3KINT,23,13,36,350663.3,0,36,29.5,0,0,NoTurnover
GatesAir HARFAX3KINT Demo,2,0,2,0,0,2,2,0,0,NoTurnover
GatesAir HARFAX50,1,0,1,0,0,1,1,0,0,NoTurnover
GatesAir HARFAX5KFAX150,4,1,5,95000,0,5,4.5,0,0,NoTurnover
GatesAir IX-HDL-950-L,2,0,2,25075,0,2,2,0,0,NoTurnover
GatesAir IX-IPL-100,15,0,15,23658.35,0,15,15,0,0,NoTurnover
GatesAir IX-IPL-100 (B-Stock),2,0,2,3154.44,0,2,2,0,0,NoTurnover
GatesAir IX-IPL-100/IX-IPL-100P-SNC/IX-IPL-XPS-MOD Demo,1,0,1,1671.3,0,1,1,0,0,NoTurnover
GatesAir IX-IPL-100MP,10,0,10,27960,0,10,10,0,0,NoTurnover
GatesAir IX-IPL-100p,6,1,7,16608,0,7,6.5,0,0,NoTurnover
GatesAir IX-IPL-100p-PK1 Demo,1,0,1,0,0,1,1,0,0,NoTurnover
GatesAir IX-IPL-200,9,0,9,30756,0,9,9,0,0,NoTurnover
GatesAir LX600 B-Stock,1,0,1,3850,0,1,1,0,0,NoTurnover
GatesAir Z10 3-phase transmitter at 107.1,1,0,1,10631,0,1,1,0,0,NoTurnover
Gator G-BROADCASTER,1,1,2,108.94,0,2,1.5,0,0,NoTurnover
Gator G-MIX-L 1618A,1,0,1,69.46,0,1,1,0,0,NoTurnover
Gator G-MIXERBAG-0909,1,0,1,20.83,0,1,1,0,0,NoTurnover
Gator G-MIXERBAG-2519,1,0,1,56.83,0,1,1,0,0,NoTurnover
Gator GM-1WP,2,0,2,221.04,0,2,2,0,0,NoTurnover
Gator GTSA-MIX192108,1,0,1,189.46,0,1,1,0,0,NoTurnover
Gator GU-1510-06-WPDF,1,0,1,66.31,0,1,1,0,0,NoTurnover
Genelec 6010-440,5,0,5,140,0,5,5,0,0,NoTurnover
Genelec 8000-437B,12,0,12,900,0,12,12,0,0,NoTurnover
Genelec 9000AP,1,0,1,109,0,1,1,0,0,NoTurnover
Gepco 61801EZ-0.41,6500,0,6500,845,0,6500,6500,0,0,NoTurnover
Henry Engineering PATCHBOX II,3,0,3,315,0,3,3,0,0,NoTurnover
Henry Engineering Patchbox,1,0,1,55,0,1,1,0,0,NoTurnover
Henry Engineering RK SH,17,0,17,175,0,17,17,0,0,NoTurnover
Henry Engineering SAM,9,0,9,3118.5,0,9,9,0,0,NoTurnover
Hosa Technology CRA-103,13,0,13,29.25,0,13,13,0,0,NoTurnover
Hosa Technology CRA-305,16,0,16,0,0,16,16,0,0,NoTurnover
Hosa Technology CRA-403,1,0,1,6.18,0,1,1,0,0,NoTurnover
Hosa Technology CSS-103,16,0,16,47.2,0,16,16,0,0,NoTurnover
Hosa Technology CYR-101,5,0,5,16.5,0,5,5,0,0,NoTurnover
Hosa Technology CYX-402M,0,6,6,54.9,0,6,3,0,0,NoTurnover
Hosa Technology D100S-2,9,0,9,108.9,0,9,9,0,0,NoTurnover
Hosa Technology DTF-803,1,0,1,34.45,0,1,1,0,0,NoTurnover
Hosa Technology DTP-802,1,0,1,28.1,0,1,1,0,0,NoTurnover
Hosa Technology EBU-003,1,0,1,7.7,0,1,1,0,0,NoTurnover
Hosa Technology EBU-010,2,0,2,20,0,2,2,0,0,NoTurnover
Hosa Technology G5S-6,3,0,3,22.32,0,3,3,0,0,NoTurnover
Hosa Technology GFT-447BK,3,0,3,43.05,0,3,3,0,0,NoTurnover
Hosa Technology GMP-112,12,-2,10,14.3,0,10,11,0,0,NoTurnover
Hosa Technology GMP-153,12,0,12,55.32,0,12,12,0,0,NoTurnover
Hosa Technology GMP-471,8,0,8,11.6,0,8,8,0,0,NoTurnover
Hosa Technology GPP-105,10,0,10,19.5,0,10,10,0,0,NoTurnover
Hosa Technology GPP-290,2,0,2,2.9,0,2,2,0,0,NoTurnover
Hosa Technology GRA-101,12,0,12,19.2,0,12,12,0,0,NoTurnover
Hosa Technology GRM-114,2,0,2,3.2,0,2,2,0,0,NoTurnover
Hosa Technology GSK-116,2,0,2,19.4,0,2,2,0,0,NoTurnover
Hosa Technology GXJ-183,5,0,5,21.75,0,5,5,0,0,NoTurnover
Hosa Technology GXJ-235,6,0,6,22.2,0,6,6,0,0,NoTurnover
Hosa Technology GXM-133,1,15,16,57.6,0,16,8.5,0,0,NoTurnover
Hosa Technology GXX-145,1,0,1,4.95,0,1,1,0,0,NoTurnover
Hosa Technology HMIC-010,11,0,11,98.45,0,11,11,0,0,NoTurnover
Hosa Technology HPE-310,12,0,12,50.4,0,12,12,0,0,NoTurnover
Hosa Technology CPR-804,1,0,1,19.5,0,1,1,0,0,NoTurnover
Hosa Technology CPR-802,5,0,5,80,0,5,5,0,0,NoTurnover
Hosa Technology CPR-204,1,0,1,5.95,0,1,1,0,0,NoTurnover
Hosa Technology CMK-010AU,5,0,5,224.95,0,5,5,0,0,NoTurnover
Henry Engineering SPORTS POD,18,0,18,8568,0,18,18,0,0,NoTurnover
Henry Engineering STEREOSWITCH II,3,0,3,682.5,0,3,3,0,0,NoTurnover
Henry Engineering Stereo Mixer Used - Good,1,0,1,72.2,0,1,1,0,0,NoTurnover
Henry Engineering TP,12,0,12,4165,0,12,12,0,0,NoTurnover
Henry Engineering TWINMATCH,8,0,8,1260,0,8,8,0,0,NoTurnover
Henry Engineering Telestor Used - Good,2,0,2,113.4,0,2,2,0,0,NoTurnover
Henry Engineering U.S.D.A. 2X4,12,0,12,2100,0,12,12,0,0,NoTurnover
Henry Engineering USB MATCHBOX II,14,0,14,7012.5,0,14,14,0,0,NoTurnover
Henry MixMinus Plus,1,0,1,77,0,1,1,0,0,NoTurnover
Henry Patchbox,1,0,1,55,0,1,1,0,0,NoTurnover
Hinds Tower Beacon Used - Good,1,0,1,154.65,0,1,1,0,0,NoTurnover
Hosa Technology BNA-100,5,0,5,14.75,0,5,5,0,0,NoTurnover
Hosa Technology CMM-103,20,0,20,49,0,20,20,0,0,NoTurnover
Hosa Technology CPR-203,110,0,110,629.2,0,110,110,0,0,NoTurnover
Hosa Technology CMM-105,12,0,12,38.35,0,12,12,0,0,NoTurnover
Hosa Technology CMM-505,7,0,7,16.8,0,7,7,0,0,NoTurnover
Hosa Technology CMP-153,21,0,21,162.15,0,21,21,0,0,NoTurnover
Hosa Technology CMR-203,23,0,23,73.6,0,23,23,0,0,NoTurnover
Hosa Technology CMR-206,20,0,20,79,0,20,20,0,0,NoTurnover
Hosa Technology CPP-204,3,0,3,18.6,0,3,3,0,0,NoTurnover
Hosa Technology CPP-807,1,0,1,30.65,0,1,1,0,0,NoTurnover
Hosa Technology CPR-103,6,0,6,14.7,0,6,6,0,0,NoTurnover
Hosa Technology CPR-105,8,0,8,23.6,0,8,8,0,0,NoTurnover
Hosa Technology CPR-110,6,0,6,22.2,0,6,6,0,0,NoTurnover
